Complaint_Summary,Category,Is_Augmented
nabanggaan tricycle nasugatan,Accident & Traffic,True
nabanggaan tricycle,Accident & Traffic,True
banggaan tricycle,Accident & Traffic,True
aksidente napilayan,Accident & Traffic,True
gasgas jeep dahil banggaan,Accident & Traffic,True
aksidente jeep,Accident & Traffic,True
nabanggaan dyip,Accident & Traffic,True
nagkaaksidente habang nagmamaneho kotse,Accident & Traffic,True
aksidente sasakyan customer,Accident & Traffic,True
nabanggaan motor hindi kayang bayaran buong gastos,Accident & Traffic,True
tricycle aksidente tricycle,Accident & Traffic,True
nasabitan dyip napilayan,Accident & Traffic,True
aksidente sidecar napilayan customer,Accident & Traffic,True
nasaktan motor hindi kayang bayaran buong gastos,Accident & Traffic,True
aksidente tricycle motor,Accident & Traffic,True
nasagi motor hindi napilayan,Accident & Traffic,True
nasabitan tricycle napilayan tricycle,Accident & Traffic,True
gasgas truck dahil banggaan,Accident & Traffic,True
naaksidente bahay nasugatan,Accident & Traffic,True
hindi kayang bayaran gastos aksidente,Accident & Traffic,True
naaksidente tindahan nasugatan,Accident & Traffic,True
gasgas motor dahil banggaan,Accident & Traffic,True
nasagi motor motor hindi kayang bayaran buong gastos,Accident & Traffic,True
naaksidente tricycle,Accident & Traffic,True
nasagi motor sidecar customer,Accident & Traffic,True
nasagi kotse kalsada,Accident & Traffic,True
nabanggaan traysikel customer,Accident & Traffic,True
nabanggaan bisikleta nasugatan,Accident & Traffic,True
aksidente sidecar motor customer,Accident & Traffic,True
nasabitan jeep napilayan,Accident & Traffic,True
nasabitan traysikel nagkagaralgal,Accident & Traffic,True
nasabitan tricycle napilayan napilayan,Accident & Traffic,True
nasagi napilayan,Accident & Traffic,True
tricycle aksidente sidecar customer,Accident & Traffic,True
naaksidente barangay nasugatan,Accident & Traffic,True
aksidente nasagi tricycle,Accident & Traffic,True
aksidente sidecar customer aksidente,Accident & Traffic,True
aksidente sasakyan,Accident & Traffic,True
nasagi motor kalsada,Accident & Traffic,True
nabanggaan jeep,Accident & Traffic,True
aksidente tricycle tricycle,Accident & Traffic,True
aksidente sidecar aksidente customer,Accident & Traffic,True
nagkaaksidente habang nagmamaneho tricycle,Accident & Traffic,True
nasabitan tricycle nasagi napilayan,Accident & Traffic,True
motor hindi bayaran buong gastos,Accident & Traffic,True
nasagi motor napilayan,Accident & Traffic,True
aksidente kayang bayaran buong gastos,Accident & Traffic,True
napilayan matapos aksidente bisikleta,Accident & Traffic,True
nasabitan tricycle natumba,Accident & Traffic,True
naaksidente tricycle nasugatan,Accident & Traffic,True
banggaan sasakyan,Accident & Traffic,True
naaksidente palengke nasugatan,Accident & Traffic,True
nabanggaan kotse nasugatan,Accident & Traffic,True
napilayan matapos aksidente kotse,Accident & Traffic,True
aksidente buong gastos,Accident & Traffic,True
nasagi motor hindi motor kayang bayaran buong gastos,Accident & Traffic,True
banggaan dyip,Accident & Traffic,True
nasagi sasakyan hindi kayang bayaran buong gastos,Accident & Traffic,True
nasabitan jeep natumba,Accident & Traffic,True
nagkaaksidente habang nagmamaneho jeep,Accident & Traffic,True
motor aksidente tricycle,Accident & Traffic,True
nabanggaan tricycle hindi kayang bayaran buong gastos,Accident & Traffic,True
napilayan aksidente tricycle,Accident & Traffic,True
aksidente customer,Accident & Traffic,True
nasagi tricycle kalsada,Accident & Traffic,True
aksidente kotse barangay,Accident & Traffic,True
aksidente gastos,Accident & Traffic,True
aksidente bisikleta bahay,Accident & Traffic,True
aksidente motor bahay,Accident & Traffic,True
nasagi motor hindi kayang bayaran buong nasagi gastos,Accident & Traffic,True
aksidente sidecar customer motor,Accident & Traffic,True
nasabitan sasakyan napilayan,Accident & Traffic,True
naaksidente tricycle hindi kayang bayaran buong gastos,Accident & Traffic,True
aksidente tricycle nabanggaan,Accident & Traffic,True
nasabitan kayang bayaran buong gastos,Accident & Traffic,True
aksidente nabanggaan tricycle,Accident & Traffic,True
napilayan matapos aksidente jeep,Accident & Traffic,True
nabanggaan motorsiklo hindi kayang bayaran buong gastos,Accident & Traffic,True
nabanggaan truck nasugatan,Accident & Traffic,True
nasabitan tricycle napilayan nasagi,Accident & Traffic,True
aksidente motor barangay,Accident & Traffic,True
napilayan aksidente sidecar customer,Accident & Traffic,True
aksidente jeep bahay,Accident & Traffic,True
aksidente bisikleta tindahan,Accident & Traffic,True
nagkaaksidente habang nagmamaneho truck,Accident & Traffic,True
nagkaaksidente habang nagmamaneho bisikleta,Accident & Traffic,True
aksidente kotse tricycle,Accident & Traffic,True
aksidente aksidente tricycle,Accident & Traffic,True
nasagi motor aksidente hindi kayang bayaran buong gastos,Accident & Traffic,True
nasagi bike hindi kayang bayaran buong gastos,Accident & Traffic,True
nabanggaan aksidente tricycle,Accident & Traffic,True
aksidente sidecar customer napilayan,Accident & Traffic,True
nasagi traysikel customer,Accident & Traffic,True
napilayan matapos aksidente truck,Accident & Traffic,True
banggaan motor na may sidecar customer,Accident & Traffic,True
nasabitan dyip natumba,Accident & Traffic,True
nasagi traysikel,Accident & Traffic,True
nasagi motor hindi kayang bayaran buong motor gastos,Accident & Traffic,True
nasabitan tricycle motor napilayan,Accident & Traffic,True
motor hindi kayang bayaran buong gastos,Accident & Traffic,True
nabanggaan sasakyan,Accident & Traffic,True
aksidente motor eskwelahan,Accident & Traffic,True
nasabitan tricycle nasugatan,Accident & Traffic,True
nasabitan buong gastos,Accident & Traffic,True
nasabitan customer,Accident & Traffic,True
aksidente truck tindahan,Accident & Traffic,True
naaksidente sasakyan hindi kayang bayaran buong gastos,Accident & Traffic,True
nasagi sidecar customer,Accident & Traffic,True
aksidente motor tricycle,Accident & Traffic,True
aksidente kotse bahay,Accident & Traffic,True
aksidente napilayan tricycle,Accident & Traffic,True
gasgas tricycle dahil banggaan,Accident & Traffic,True
aksidente truck kalsada,Accident & Traffic,True
nasabitan bayaran buong gastos,Accident & Traffic,True
nasagi jeep kalsada,Accident & Traffic,True
nabanggaan sasakyan hindi kayang bayaran buong gastos,Accident & Traffic,True
nasabitan tricycle nabanggaan napilayan,Accident & Traffic,True
nagkaaksidente habang nagmamaneho motor,Accident & Traffic,True
nasagi jeep,Accident & Traffic,True
nasagi motor hindi kayang bayaran buong gastos napilayan,Accident & Traffic,True
nasagi tricycle hindi kayang bayaran buong gastos,Accident & Traffic,True
nasabitan sidecar customer,Accident & Traffic,True
aksidente truck barangay,Accident & Traffic,True
nasagi motor tricycle hindi kayang bayaran buong gastos,Accident & Traffic,True
nasabitan tricycle napilayan nabanggaan,Accident & Traffic,True
aksidente sidecar nabanggaan customer,Accident & Traffic,True
nasabitan tricycle nagkagaralgal,Accident & Traffic,True
nasagi motor na may sidecar customer,Accident & Traffic,True
nasagi nasagi motor hindi kayang bayaran buong gastos,Accident & Traffic,True
nasabitan tricycle tricycle napilayan,Accident & Traffic,True
aksidente truck eskwelahan,Accident & Traffic,True
aksidente nasagi sidecar customer,Accident & Traffic,True
aksidente sidecar customer nabanggaan,Accident & Traffic,True
nasabitan aksidente tricycle napilayan,Accident & Traffic,True
banggaan sasakyan customer,Accident & Traffic,True
motor kayang bayaran buong gastos,Accident & Traffic,True
nasagi motor customer,Accident & Traffic,True
hindi buong gastos,Accident & Traffic,True
naaksidente bike hindi kayang bayaran buong gastos,Accident & Traffic,True
aksidente bisikleta kalsada,Accident & Traffic,True
aksidente sidecar customer tricycle,Accident & Traffic,True
nasagi motor kayang bayaran buong,Accident & Traffic,True
nasabitan napilayan tricycle napilayan,Accident & Traffic,True
napilayan nasabitan tricycle napilayan,Accident & Traffic,True
nasagi motor hindi kayang tricycle bayaran buong gastos,Accident & Traffic,True
nabanggaan bike hindi kayang bayaran buong gastos,Accident & Traffic,True
naaksidente sidecar customer,Accident & Traffic,True
tricycle nasabitan tricycle napilayan,Accident & Traffic,True
nasabitan traysikel nasaktan,Accident & Traffic,True
naaksidente motor na may sidecar customer,Accident & Traffic,True
aksidente tricycle eskwelahan,Accident & Traffic,True
nasagi nasabitan tricycle napilayan,Accident & Traffic,True
nasagi motor hindi kayang bayaran tricycle buong gastos,Accident & Traffic,True
nasagi motor hindi kayang bayaran buong aksidente gastos,Accident & Traffic,True
pagpapakalat maling impormasyon,Defamation & Cyberbullying,False
pagpopost social media tungkol usapan,Defamation & Cyberbullying,False
pambubully anak,Defamation & Cyberbullying,False
nagpost video tungkol grocery modus,Defamation & Cyberbullying,False
minura dinuro,Defamation & Cyberbullying,False
paninirang puri masasamang salita,Defamation & Cyberbullying,False
paninirang puri laban anak,Defamation & Cyberbullying,False
bastos chats anak,Defamation & Cyberbullying,False
oral defamation psychological distress,Defamation & Cyberbullying,False
pinagalitan dinuro,Defamation & Cyberbullying,True
oral defamation laban anak,Defamation & Cyberbullying,True
nag upload video tungkol grocery modus,Defamation & Cyberbullying,True
paninirang puri messenger,Defamation & Cyberbullying,True
minura dinuro facebook,Defamation & Cyberbullying,True
pambubully facebook anak,Defamation & Cyberbullying,True
bastos mensahe facebook,Defamation & Cyberbullying,True
paninirang puri twitter,Defamation & Cyberbullying,True
pagpapakalat usapan,Defamation & Cyberbullying,True
minura pinagsamantalahan,Defamation & Cyberbullying,True
nagpost post social media,Defamation & Cyberbullying,True
ni post video tungkol grocery modus,Defamation & Cyberbullying,True
minura anak,Defamation & Cyberbullying,True
pagpapakalat maling,Defamation & Cyberbullying,True
pagmamalabis kabataan,Defamation & Cyberbullying,True
oral defamation psychological,Defamation & Cyberbullying,True
nagpakalat maling impormasyon,Defamation & Cyberbullying,True
paninirang anak,Defamation & Cyberbullying,True
bastos distress,Defamation & Cyberbullying,True
pambubully modus,Defamation & Cyberbullying,True
pagpopost psychological distress,Defamation & Cyberbullying,True
paninirang modus,Defamation & Cyberbullying,True
pinagbintangan tungkol bahay,Defamation & Cyberbullying,True
pinagsamantalahan social media,Defamation & Cyberbullying,True
minura dinuro social media,Defamation & Cyberbullying,True
pambubully psychological distress,Defamation & Cyberbullying,True
nagpost video tungkol usapan,Defamation & Cyberbullying,True
nagpost content tungkol grocery modus,Defamation & Cyberbullying,True
oral defamation laban pamilya,Defamation & Cyberbullying,True
pambubully bata namin,Defamation & Cyberbullying,True
pang aapi anak,Defamation & Cyberbullying,True
oral defamation laban kaibigan,Defamation & Cyberbullying,True
pambubully bata,Defamation & Cyberbullying,True
pambubully impormasyon,Defamation & Cyberbullying,True
pambubully dinuro,Defamation & Cyberbullying,True
pagpopost social tungkol usapan,Defamation & Cyberbullying,True
minura dinuro messenger,Defamation & Cyberbullying,True
paninirang puri facebook,Defamation & Cyberbullying,True
pinagbintangan tungkol sasakyan,Defamation & Cyberbullying,True
nagpost tsismis social media,Defamation & Cyberbullying,True
oral anak,Defamation & Cyberbullying,True
paninirang salita,Defamation & Cyberbullying,True
oral tungkol usapan,Defamation & Cyberbullying,True
bastos mensahe twitter,Defamation & Cyberbullying,True
nagshare post nang walang pahintulot,Defamation & Cyberbullying,True
pagpopost social modus,Defamation & Cyberbullying,True
facebook pambubully anak,Defamation & Cyberbullying,True
pambubully chats anak,Defamation & Cyberbullying,True
bastos chats facebook anak,Defamation & Cyberbullying,True
facebook pagpapakalat maling impormasyon,Defamation & Cyberbullying,True
nagshare screenshot nang walang pahintulot,Defamation & Cyberbullying,True
pambubully asawa,Defamation & Cyberbullying,True
nagpost mensahe social media,Defamation & Cyberbullying,True
minura distress,Defamation & Cyberbullying,True
pagpopost social anak,Defamation & Cyberbullying,True
nagpost post tungkol grocery modus,Defamation & Cyberbullying,True
nagpost psychological distress,Defamation & Cyberbullying,True
bastos chats bata namin,Defamation & Cyberbullying,True
nagshare mensahe nang walang pahintulot,Defamation & Cyberbullying,True
pinagsamantalahan messenger,Defamation & Cyberbullying,True
pinagbintangan tungkol pera,Defamation & Cyberbullying,True
oral defamation distress,Defamation & Cyberbullying,True
paninirang social media puri masasamang salita,Defamation & Cyberbullying,True
pambubully menor de edad,Defamation & Cyberbullying,True
minura bastos chats anak,Defamation & Cyberbullying,True
pinagbintangan tungkol motor,Defamation & Cyberbullying,True
bastos mensahe social media,Defamation & Cyberbullying,True
oral defamation social media psychological distress,Defamation & Cyberbullying,True
bastos usapan,Defamation & Cyberbullying,True
paninirang puri laban,Defamation & Cyberbullying,True
naglagay video tungkol grocery modus,Defamation & Cyberbullying,True
paninirang puri pambubully laban anak,Defamation & Cyberbullying,True
pambubully pagpopost social media tungkol usapan,Defamation & Cyberbullying,True
minura ginahasa,Defamation & Cyberbullying,True
paninirang puri anak,Defamation & Cyberbullying,True
pinagbintangan tungkol ari arian,Defamation & Cyberbullying,True
pinagsamantalahan twitter,Defamation & Cyberbullying,True
pinagsamantalahan group chat,Defamation & Cyberbullying,True
nagpost screenshot social media,Defamation & Cyberbullying,True
pambubully salita,Defamation & Cyberbullying,True
paninirang tungkol grocery modus,Defamation & Cyberbullying,True
bastos chats anak minura,Defamation & Cyberbullying,True
pagpapakalat maling balita,Defamation & Cyberbullying,True
panloloko bata namin,Defamation & Cyberbullying,True
bastos masasamang salita,Defamation & Cyberbullying,True
paninirang puri laban menor de edad,Defamation & Cyberbullying,True
ni post litrato tungkol grocery modus,Defamation & Cyberbullying,True
pambubully kapitbahay,Defamation & Cyberbullying,True
paninirang puri social media,Defamation & Cyberbullying,True
paninirang puri laban kabataan,Defamation & Cyberbullying,True
pagpopost laban anak,Defamation & Cyberbullying,True
maling impormasyon,Defamation & Cyberbullying,True
nagpost anak,Defamation & Cyberbullying,True
pang aapi menor de edad,Defamation & Cyberbullying,True
bastos dinuro,Defamation & Cyberbullying,True
bastos impormasyon,Defamation & Cyberbullying,True
pagpapakalat dinuro,Defamation & Cyberbullying,True
pagpopost tungkol grocery modus,Defamation & Cyberbullying,True
oral defamation psychological distress nagpost,Defamation & Cyberbullying,True
nagpost video tungkol grocery modus minura,Defamation & Cyberbullying,True
social media oral defamation psychological distress,Defamation & Cyberbullying,True
pambubully pambubully anak,Defamation & Cyberbullying,True
pinagalitan pinagbintangan,Defamation & Cyberbullying,True
facebook bastos chats anak,Defamation & Cyberbullying,True
minura minura dinuro,Defamation & Cyberbullying,True
minura dinuro group chat,Defamation & Cyberbullying,True
pagpopost social media tungkol,Defamation & Cyberbullying,True
paninirang puri maling impormasyon,Defamation & Cyberbullying,True
paninirang puri laban bata namin,Defamation & Cyberbullying,True
oral defamation paninirang puri psychological distress,Defamation & Cyberbullying,True
paninirang usapan,Defamation & Cyberbullying,True
pagpapakalat maling tsismis,Defamation & Cyberbullying,True
minura maling impormasyon,Defamation & Cyberbullying,True
nagshare litrato nang walang pahintulot,Defamation & Cyberbullying,True
oral chats anak,Defamation & Cyberbullying,True
nagshare video nang walang pahintulot,Defamation & Cyberbullying,True
pagpapakalat maling mensahe,Defamation & Cyberbullying,True
pambubully usapan,Defamation & Cyberbullying,True
pinagbintangan tungkol lupa,Defamation & Cyberbullying,True
panloloko anak,Defamation & Cyberbullying,True
pambubully anak minura,Defamation & Cyberbullying,True
pagpopost social usapan,Defamation & Cyberbullying,True
pagmamalabis anak,Defamation & Cyberbullying,True
nagpost video paninirang puri tungkol grocery modus,Defamation & Cyberbullying,True
bastos chats menor de edad,Defamation & Cyberbullying,True
paninirang puri masasamang pambubully salita,Defamation & Cyberbullying,True
nagpost litrato tungkol grocery modus,Defamation & Cyberbullying,True
pinagsamantalahan facebook,Defamation & Cyberbullying,True
paninirang puri laban bata,Defamation & Cyberbullying,True
paninirang puri masasamang facebook salita,Defamation & Cyberbullying,True
nagpost pambubully anak,Defamation & Cyberbullying,True
pagpapakalat anak,Defamation & Cyberbullying,True
nagpost bastos chats anak,Defamation & Cyberbullying,True
nagpost video maling impormasyon,Defamation & Cyberbullying,True
bastos modus,Defamation & Cyberbullying,True
pagmamalabis bata,Defamation & Cyberbullying,True
paninirang puri minura dinuro,Defamation & Cyberbullying,True
oral defamation psychological distress pambubully,Defamation & Cyberbullying,True
nagpost video social media,Defamation & Cyberbullying,True
paninirang puri psychological distress,Defamation & Cyberbullying,True
oral defamation tungkol usapan,Defamation & Cyberbullying,True
ininsulto dinuro,Defamation & Cyberbullying,True
nagpost video laban anak,Defamation & Cyberbullying,True
nagshare tsismis nang walang pahintulot,Defamation & Cyberbullying,True
paninirang puri masasamang salita minura,Defamation & Cyberbullying,True
bastos anak,Defamation & Cyberbullying,True
paninirang tungkol usapan,Defamation & Cyberbullying,True
minura salita,Defamation & Cyberbullying,True
oral defamation laban asawa,Defamation & Cyberbullying,True
nagpost litrato social media,Defamation & Cyberbullying,True
oral psychological distress,Defamation & Cyberbullying,True
paninirang puri pagpopost social media tungkol usapan,Defamation & Cyberbullying,True
pagpopost dinuro,Defamation & Cyberbullying,True
pagpopost social media tungkol social media usapan,Defamation & Cyberbullying,True
pagpopost social media paninirang puri tungkol usapan,Defamation & Cyberbullying,True
minura masasamang salita,Defamation & Cyberbullying,True
bastos psychological distress,Defamation & Cyberbullying,True
bastos mensahe group chat,Defamation & Cyberbullying,True
paninirang puri usapan,Defamation & Cyberbullying,True
bastos mensahe messenger,Defamation & Cyberbullying,True
paninirang puri group chat,Defamation & Cyberbullying,True
facebook paninirang puri laban anak,Defamation & Cyberbullying,True
pinagmurahan pinagbintangan,Defamation & Cyberbullying,True
bastos nagpost chats anak,Defamation & Cyberbullying,True
pambubully kaibigan,Defamation & Cyberbullying,True
pinagmurahan dinuro,Defamation & Cyberbullying,True
paninirang distress,Defamation & Cyberbullying,True
oral defamation laban kapitbahay,Defamation & Cyberbullying,True
social media minura dinuro,Defamation & Cyberbullying,True
pambubully anak paninirang puri,Defamation & Cyberbullying,True
pinagmurahan inutusan,Defamation & Cyberbullying,True
pagpopost minura social media tungkol usapan,Defamation & Cyberbullying,True
paninirang dinuro,Defamation & Cyberbullying,True
nagpost video usapan,Defamation & Cyberbullying,True
pagpapakalat chats anak,Defamation & Cyberbullying,True
bastos tungkol usapan,Defamation & Cyberbullying,True
minura modus,Defamation & Cyberbullying,True
bastos tungkol grocery modus,Defamation & Cyberbullying,True
nagshare video tungkol grocery modus,Defamation & Cyberbullying,True
paninirang masasamang salita,Defamation & Cyberbullying,True
pambubully masasamang salita,Defamation & Cyberbullying,True
bastos chats bata,Defamation & Cyberbullying,True
pambubully kabataan,Defamation & Cyberbullying,True
paninirang laban anak,Defamation & Cyberbullying,True
nagpost nagpost video tungkol grocery modus,Defamation & Cyberbullying,True
pagpapakalat maling social media impormasyon,Defamation & Cyberbullying,True
ininsulto inutusan,Defamation & Cyberbullying,True
paninirang puri paninirang puri masasamang salita,Defamation & Cyberbullying,True
pang aapi bata,Defamation & Cyberbullying,True
nagpost video tungkol minura grocery modus,Defamation & Cyberbullying,True
nagpost video anak,Defamation & Cyberbullying,True
nabasag meralco meter,Environmental & Infrastructure,False
ginawang basurahan lupa,Environmental & Infrastructure,False
naka jumper linya kuryente,Environmental & Infrastructure,False
lumagpas pagputol puno,Environmental & Infrastructure,False
naka jumper linya linya ng kuryente,Environmental & Infrastructure,True
nabasag meter,Environmental & Infrastructure,True
nabasag gripo bahay,Environmental & Infrastructure,True
ginawang basurahan kalsada,Environmental & Infrastructure,True
ginawang basurahan tricycle,Environmental & Infrastructure,True
nabasag basurahan lupa,Environmental & Infrastructure,True
lumagpas meter,Environmental & Infrastructure,True
naka jumper linya meralco,Environmental & Infrastructure,True
nabasag lupa,Environmental & Infrastructure,True
naka jumper linya kuryente puno,Environmental & Infrastructure,True
ginawang tubig basurahan lupa,Environmental & Infrastructure,True
basura tricycle hindi nililinis,Environmental & Infrastructure,True
lumagpas basurahan lupa,Environmental & Infrastructure,True
basura bahay hindi nililinis,Environmental & Infrastructure,True
nabasag metro meralco bahay,Environmental & Infrastructure,True
problema tubo tubig subdivision,Environmental & Infrastructure,True
lumagpas pagputol halaman,Environmental & Infrastructure,True
naka meralco meter,Environmental & Infrastructure,True
naka jumper meralco,Environmental & Infrastructure,True
jumper linya kuryente,Environmental & Infrastructure,True
nabali meralco meter,Environmental & Infrastructure,True
naka jumper lupa,Environmental & Infrastructure,True
hindi nilalagyan poste kuryente,Environmental & Infrastructure,True
naka jumper meralco meter,Environmental & Infrastructure,True
lumagpas pagputol puno eskwelahan,Environmental & Infrastructure,True
ginawang puno,Environmental & Infrastructure,True
ginawang meralco meter,Environmental & Infrastructure,True
ginawang basurahan palengke,Environmental & Infrastructure,True
naka illegal connection linya kuryente,Environmental & Infrastructure,True
lumagpas pagputol puno kuryente,Environmental & Infrastructure,True
ginawang meter,Environmental & Infrastructure,True
basura tindahan hindi nililinis,Environmental & Infrastructure,True
tubig lumagpas pagputol puno,Environmental & Infrastructure,True
naka kuryenteng ninakaw linya kuryente,Environmental & Infrastructure,True
nabasag linya kuryente kalsada,Environmental & Infrastructure,True
pagputol puno,Environmental & Infrastructure,True
ginawang basurahan poste lupa,Environmental & Infrastructure,True
lumagpas pagputol puno bahay,Environmental & Infrastructure,True
lumagpas kuryente pagputol puno,Environmental & Infrastructure,True
lumagpas pagputol punongkahoy,Environmental & Infrastructure,True
nabasag meralco meter tubig,Environmental & Infrastructure,True
lumagpas pagputol puno tricycle,Environmental & Infrastructure,True
puno nabasag meralco meter,Environmental & Infrastructure,True
ginawang linya kuryente,Environmental & Infrastructure,True
ginawang kuryente,Environmental & Infrastructure,True
naka jumper basurahan lupa,Environmental & Infrastructure,True
problema linya kuryente subdivision,Environmental & Infrastructure,True
basurahan lupa,Environmental & Infrastructure,True
nabasag puno meralco meter,Environmental & Infrastructure,True
basura naka jumper linya kuryente,Environmental & Infrastructure,True
nabasag tubo tubig barangay,Environmental & Infrastructure,True
lumagpas meralco meter,Environmental & Infrastructure,True
meralco meter,Environmental & Infrastructure,True
nabasag meralco puno meter,Environmental & Infrastructure,True
ginawang basurahan tindahan,Environmental & Infrastructure,True
lumagpas lupa,Environmental & Infrastructure,True
ginawang basurahan bahay,Environmental & Infrastructure,True
problema metro meralco subdivision,Environmental & Infrastructure,True
poste nabasag meralco meter,Environmental & Infrastructure,True
basura palengke hindi nililinis,Environmental & Infrastructure,True
lumagpas pagputol poste puno,Environmental & Infrastructure,True
lumagpas puno,Environmental & Infrastructure,True
nabasag linya kuryente barangay,Environmental & Infrastructure,True
nabasag linya kuryente tricycle,Environmental & Infrastructure,True
ginawang basurahan palayan,Environmental & Infrastructure,True
ginawang basurahan puno lupa,Environmental & Infrastructure,True
naka jumper linya koryente,Environmental & Infrastructure,True
lumagpas pagputol puno tindahan,Environmental & Infrastructure,True
nawasak meralco meter,Environmental & Infrastructure,True
naka lupa,Environmental & Infrastructure,True
problema gripo subdivision,Environmental & Infrastructure,True
naka illegal connection linya meralco,Environmental & Infrastructure,True
jumper kuryente,Environmental & Infrastructure,True
nabasag kuryente,Environmental & Infrastructure,True
naka jumper linya kuryente jumper,Environmental & Infrastructure,True
naka jumper puno,Environmental & Infrastructure,True
naka jumper poste linya kuryente,Environmental & Infrastructure,True
nabasag meralco,Environmental & Infrastructure,True
naka jumper linya ilaw,Environmental & Infrastructure,True
nabasag meralco meter poste,Environmental & Infrastructure,True
naka jumper meter,Environmental & Infrastructure,True
nabasag pagputol puno,Environmental & Infrastructure,True
basura barangay hindi nililinis,Environmental & Infrastructure,True
jumper naka jumper linya kuryente,Environmental & Infrastructure,True
ginawang basurahan lupa jumper,Environmental & Infrastructure,True
nasira meralco meter,Environmental & Infrastructure,True
poste lumagpas pagputol puno,Environmental & Infrastructure,True
nabasag gripo kalsada,Environmental & Infrastructure,True
puno naka jumper linya kuryente,Environmental & Infrastructure,True
nabasag metro meralco eskwelahan,Environmental & Infrastructure,True
naka kuryenteng ninakaw linya linya ng kuryente,Environmental & Infrastructure,True
lumagpas pagputol sanga,Environmental & Infrastructure,True
nabasag gripo tindahan,Environmental & Infrastructure,True
naka ilegal na koneksyon linya ilaw,Environmental & Infrastructure,True
nabasag puno,Environmental & Infrastructure,True
basura eskwelahan hindi nililinis,Environmental & Infrastructure,True
naka basura jumper linya kuryente,Environmental & Infrastructure,True
nadurog meralco meter,Environmental & Infrastructure,True
poste ginawang basurahan lupa,Environmental & Infrastructure,True
nabasag gripo tricycle,Environmental & Infrastructure,True
nabasag meralco tubig meter,Environmental & Infrastructure,True
ginawang basurahan property,Environmental & Infrastructure,True
nabasag metro meralco kalsada,Environmental & Infrastructure,True
naka jumper linya kuryente tubig,Environmental & Infrastructure,True
naka ilegal na koneksyon linya kuryente,Environmental & Infrastructure,True
ginawang basurahan eskwelahan,Environmental & Infrastructure,True
ginawang jumper basurahan lupa,Environmental & Infrastructure,True
naka basurahan lupa,Environmental & Infrastructure,True
lumagpas linya kuryente,Environmental & Infrastructure,True
basura kalsada hindi nililinis,Environmental & Infrastructure,True
lumagpas pagputol kahoy,Environmental & Infrastructure,True
ginawang basurahan,Environmental & Infrastructure,True
lumagpas pagputol puno kalsada,Environmental & Infrastructure,True
naka tubig jumper linya kuryente,Environmental & Infrastructure,True
nabasag tubo tubig eskwelahan,Environmental & Infrastructure,True
naka jumper jumper linya kuryente,Environmental & Infrastructure,True
ginawang basurahan lupa puno,Environmental & Infrastructure,True
basura ginawang basurahan lupa,Environmental & Infrastructure,True
naka jumper kuryente,Environmental & Infrastructure,True
kuryente nabasag meralco meter,Environmental & Infrastructure,True
nabasag linya kuryente eskwelahan,Environmental & Infrastructure,True
jumper lumagpas pagputol puno,Environmental & Infrastructure,True
nabasag tubo tubig tindahan,Environmental & Infrastructure,True
ginawang basurahan tubig lupa,Environmental & Infrastructure,True
